Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address
The Enforcer,1976,24th Street Mini Park (Mission District),39.78373,-100.446,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,"24th Street Mini Park San Francisco California,",
Chance - Season 1 Pilot,2016,253 4th Ave.,37.7643,-122.461,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"253 4th Ave. San Francisco California,",
Junior,1994,2552 Hyde Street,37.7964,-122.418,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,"2552 Hyde Street San Francisco California,",
The Princess Diaries,2001,2601 Lyon Street,37.79856,-122.447,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,"2601 Lyon Street San Francisco California,",
Experiment in Terror,1962,2632 Larkin Street at Lombard,37.78471,-122.418,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,"2632 Larkin Street San Francisco California,",
"Murder in the First, Season 3",2016,2633 Vallejo Street,37.79461,-122.44,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"2633 Vallejo Street San Francisco California,",
Always Be My Maybe,2019,26th Ave and El Camino Del mar,37.78789,-122.483,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,"El Camino Del mar San Francisco California,",
Bullitt,1968,2700 Vallejo Street (Pacific Heights),37.79459,-122.442,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,"2700 Vallejo Street San Francisco California,",
Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights),37.79272,-122.436,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,Lilli Palmer,"Pacific Heights San Francisco California,",
A Taiwanese Tale of Two Cities,2018,2751 Mission St,37.79376,-122.393,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,"2751 Mission St San Francisco California,",
Magnum Force,1973,280 Freeway at Pennsylvania and Mariposa Streets,37.76403,-122.394,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,"Mariposa Street San Francisco California,",
Sudden Fear,1952,2800 Scott Street,37.78363,-122.438,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame,"2800 Scott Street San Francisco California,",
Heart and Souls,1993,2810 Pacific Avenue,37.79089,-122.453,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,"2810 Pacific Avenue San Francisco California,",
Looking,2014,2866 24th St.,37.75297,-122.407,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"2866 24th St. San Francisco California,",
Blue Jasmine,2013,2898 Broadway,37.79584,-122.423,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"2898 Broadway San Francisco California,",
The Towering Inferno,1974,2898 Vallejo Street,37.79426,-122.445,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,"2898 Vallejo Street San Francisco California,",
Blue Jasmine,2013,2915 16th St.,37.76568,-122.41,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"2915 16th St. San Francisco California,",
Pushing Dead,2016,2930 3rd Street,37.77946,-122.394,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,"2930 3rd Street San Francisco California,",
Basic Instinct,1992,2930 Vallejo Street,37.79461,-122.44,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,"2930 Vallejo Street San Francisco California,",
Blue Jasmine,2013,2934 24th St.,37.75295,-122.411,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"2934 24th St. San Francisco California,",
"Budding Prospects, Pilot",2017,2937 24th Street,37.75297,-122.407,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,"2937 24th Street San Francisco California,",
Bitter Melon,2018,298 11th St,37.77192,-122.414,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,"298 11th St San Francisco California,",
Milk,2008,29th and Dolores Street,37.74149,-122.424,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,"Dolores Street San Francisco California,",
Red Widow,2013,2nd St & Howard,37.79054,-122.393,Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,"Howard San Francisco California,",
San Andreas,2015,2nd St. at Townsend St.,37.78149,-122.389,Brad Peyton,Allan Loeb,Dwayne Johnson,,,"Townsend St. San Francisco California,",
The Game,1997,301 Howard Street,37.78953,-122.394,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,"301 Howard Street San Francisco California,",
"Budding Prospects, Pilot",2017,3033 24th Street,37.75267,-122.412,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,"3033 24th Street San Francisco California,",
Blue Jasmine,2013,303-305 S. Van Ness,39.78373,-100.446,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"305 S. Van Ness San Francisco California,",
The Diary of a Teenage Girl,2015,304 Lily St.,37.77414,-122.426,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,"304 Lily St. San Francisco California,",
So I Married an Axe Murderer,1993,305 Hugo Street,37.76527,-122.46,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,"305 Hugo Street San Francisco California,",
"Budding Prospects, Pilot",2017,3050 24th Street,37.75297,-122.407,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,"3050 24th Street San Francisco California,",
Petulia,1968,307 Filbert Street,37.79677,-122.446,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,"307 Filbert Street San Francisco California,",
"Looking ""Special""",2016,3079 16th Street,37.76568,-122.41,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"3079 16th Street San Francisco California,",
Woman on Top,2000,312 Fillmore Street,37.78711,-122.433,Fina Torres,Vera Blasi,Penelope Cruz,,,"312 Fillmore Street San Francisco California,",
Bitter Melon,2018,3139 16th St,37.76568,-122.41,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,"3139 16th St San Francisco California,",
Looking Season 2 ep 202,2015,314 11th Street,37.77353,-122.416,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"314 11th Street San Francisco California,",
Bitter Melon,2018,3189 16th St,37.76568,-122.41,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,"3189 16th St San Francisco California,",
Invasion of the Body Snatchers,1978,32 Napier Lane,37.80272,-122.404,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,"32 Napier Lane San Francisco California,",
Americana,2015,3232 Jackson Ave.,39.78373,-100.446,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,"3232 Jackson Ave. San Francisco California,",
Bitter Melon,2018,33 Dearborn St,37.76223,-122.423,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,"33 Dearborn St San Francisco California,",
Americana,2015,33 Spruce St,37.78395,-122.454,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,"33 Spruce St San Francisco California,",
Blue Jasmine,2013,330 Santa Clara Ave.,37.73403,-122.466,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"330 Santa Clara Ave. San Francisco California,",
"Smile Again, Jenny Lee",2015,333 Pacheco St at Lopez Ave.,37.7481,-122.463,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,"333 Pacheco St. San Francisco California,",
American Graffiti,1973,3355 Geary Blvd.,37.78116,-122.455,George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,"3355 Geary Blvd. San Francisco California,",
Etruscan Smile,2017,343 Union Street,37.79774,-122.43,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"343 Union Street San Francisco California,",
Chance- Season 1 ep103,2016,350 Santa Ana Ave.,37.73677,-122.468,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"350 Santa Ana Ave. San Francisco California,",
"Murder in the First, Season 1",2014,350 Union Street,37.79774,-122.43,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"350 Union Street San Francisco California,",
Blue Jasmine,2013,3563 20th St.,37.75831,-122.42,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"3563 20th St. San Francisco California,",
Vegas in Space,1992,3567 18th Street,37.76279,-122.393,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,"3567 18th Street San Francisco California,",
The Last Black Man in San Francisco,2019,363 Lyon St,37.79856,-122.447,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"363 Lyon St San Francisco California,",
Cardinal X,2015,3639 Taraval St,37.74162,-122.505,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,"3639 Taraval St San Francisco California,",
Looking Season 2 ep 204,2015,3650 21st Street,37.75743,-122.412,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"3650 21st Street San Francisco California,",
"Murder in the First, Season 1",2014,369 Embarcadero,37.79075,-122.389,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"369 Embarcadero San Francisco California,",
"Murder in the First, Season 2",2015,372/374 Pennsylvania Avenue,37.75139,-122.393,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"374 Pennsylvania Avenue San Francisco California,",
"Murder in the First, Season 1",2014,373 Columbus Avenue,37.79846,-122.408,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"373 Columbus Avenue San Francisco California,",
Sense8,2015,375 Castro St. and 17th between Castro and Diamond St.,37.76898,-122.436,The Wachowskis,The Wachowskis,Jamie Clayton,,,"375 Castro St. San Francisco California,",
Joy Luck Club,1993,375 Laguna Honda Blvd.,37.74892,-122.457,Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,"375 Laguna Honda Blvd. San Francisco California,",
Bitter Melon,2018,386 4th Ave,37.7643,-122.461,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,"386 4th Ave San Francisco California,",
Cherish,2002,387 Fair Oaks at 25th Street,39.78373,-100.446,Finn Taylor,Finn Taylor,Brad Hunt,Robin Tunney,,"387 Fair Oaks San Francisco California,",
High Crimes,2002,391 Pennsylvania Avenue at 19th Street,37.75139,-122.393,Carl Franklin,Yuri Zeltser,Ashley Judd,Morgan Freeman,,"391 Pennsylvania Avenue San Francisco California,",
The Last Black Man in San Francisco,2019,3rd St btwn Evans and Oakdale,37.77946,-122.394,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"3rd St San Francisco California,",
Etruscan Smile,2017,3rd Street between Market & Harrison,37.77946,-122.394,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"3rd Street San Francisco California,",
"Budding Prospects, Pilot",2017,40 Prentiss Street,37.74023,-122.412,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,"40 Prentiss Street San Francisco California,",
Fearless,1993,400 Montgomery Street,37.79929,-122.404,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,"400 Montgomery Street San Francisco California,",
Quitters,2015,4015 21st St,37.75743,-122.412,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,"4015 21st St San Francisco California,",
I Am Michael,2015,4100 20th St,37.75749,-122.438,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,"4100 20th St San Francisco California,",
"Smile Again, Jenny Lee",2015,411 Shrader St.,37.77082,-122.452,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,"411 Shrader St. San Francisco California,",
The Last Black Man in San Francisco,2019,415 Lyon St/355 Lyon St,37.79856,-122.447,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"355 Lyon St San Francisco California,",
Pushing Dead,2016,42 Walter Street,37.76925,-122.432,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,"42 Walter Street San Francisco California,",
Ant-Man,2015,420 Jones St. at Ellis St.,37.79047,-122.414,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,"420 Jones St San Francisco California,",
Cardinal X,2015,420 Mason St.,37.78756,-122.41,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,"420 Mason St. San Francisco California,",
Vegas in Space,1992,422 Oak Street at Laguna,37.77141,-122.454,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,"422 Oak Street San Francisco California,",
Milk,2008,424 Sansome Street,37.79581,-122.402,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,"424 Sansome Street San Francisco California,",
When We Rise,2017,426 Castro St.,37.76202,-122.435,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,"426 Castro St. San Francisco California,",
Foul Play,1978,430 Vallejo Street (Telegraph Hill),37.79927,-122.405,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,"430 Vallejo Street San Francisco California,",
Pushing Dead,2016,"433 Baker Street,",37.79993,-122.446,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,"433 Baker Street San Francisco California,",
Pushing Dead,2016,"433 Baker Street, ",37.79993,-122.446,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,"433 Baker Street San Francisco California,",
Groove,2000,435 23rd Street at Illinois,37.75437,-122.405,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,,"435 23rd Street San Francisco California,",
"Murder in the First, Season 2",2015,435 Broadway,37.79584,-122.423,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"435 Broadway San Francisco California,",
When We Rise,2017,440 Castro St.,37.76898,-122.436,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,"440 Castro St. San Francisco California,",
The Last Black Man in San Francisco,2019,4704 3rd St,37.77946,-122.394,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"4704 3rd St San Francisco California,",
"Smile Again, Jenny Lee",2015,475 Diamond St.,37.73351,-122.434,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,"475 Diamond St. San Francisco California,",
Ant-Man and the Wasp,2018,490 Geary St,37.78572,-122.421,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,"490 Geary St San Francisco California,",
"Murder in the First, Season 1",2014,50 California Street,37.79428,-122.398,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"50 California Street San Francisco California,",
Star Trek IV: The Voyage Home,1986,500 Block of Pacific Avenue (Chinatown),37.7943,-122.406,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,"Chinatown San Francisco California,",
"Budding Prospects, Pilot",2017,500 Cortland Avenue,37.73887,-122.416,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,"500 Cortland Avenue San Francisco California,",
"Murder in the First, Season 3",2016,500 Grove Street,37.77585,-122.439,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"500 Grove Street San Francisco California,",
"Murder in the First, Season 1",2014,504 Broadway,37.79812,-122.406,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"504 Broadway San Francisco California,",
"Smile Again, Jenny Lee",2015,510 Noe Street & 18th St.,37.76667,-122.433,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,"510 Noe Street San Francisco California,",
Mrs. Doubtfire,1993,516 Green Street,37.79978,-122.408,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,"516 Green Street San Francisco California,",
When We Rise,2017,520 Castro St.,37.76898,-122.436,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,"520 Castro St. San Francisco California,",
Mrs. Doubtfire,1993,520-522A Green Street at Grant Street,37.79977,-122.408,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,"520 Green Street San Francisco California,",
Summertime,2015,53 Potomac St,37.76999,-122.433,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,"53 Potomac St San Francisco California,",
Looking Season 2 ep 204,2015,534 Hyde Street,37.7964,-122.418,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"534 Hyde Street San Francisco California,",
Looking Season 2 ep 205,2015,534 Hyde Street,37.7964,-122.418,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"534 Hyde Street San Francisco California,",
"Murder in the First, Season 3",2016,535 Octavia Street,37.77527,-122.424,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"535 Octavia Street San Francisco California,",
Ant-Man and the Wasp,2018,544 Jones,37.79047,-122.414,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,"544 Jones San Francisco California,",
Vegas in Space,1992,544 Natoma (SOMA),37.76743,-122.418,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,"544 Natoma San Francisco California,",
The Dead Pool,1988,550 El Camino Del Mar (Seacliff),37.78789,-122.483,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,"550 El Camino Del Mar San Francisco California,",
Blue Jasmine,2013,5546 Geary Ave,39.78373,-100.446,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"5546 Geary Ave San Francisco California,",
San Andreas,2015,555 California,39.78373,-100.446,Brad Peyton,Allan Loeb,Dwayne Johnson,,,"555 California San Francisco California,",
San Andreas,2015,555 California,39.78373,-100.446,Brad Peyton,Allan Loeb,Dwayne Johnson,,,"555 California San Francisco California,",
180,2011,555 Market St.,37.79,-122.4,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,"555 Market St. San Francisco California,",
180,2011,555 Market St.,37.79,-122.4,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,"555 Market St. San Francisco California,",
Fearless,1993,5th and Beale Streets,37.79063,-122.395,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,"Beale Street San Francisco California,",
